Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2025-06-28T14:00:00+02:00;Jak and Daxter: The Precursor Legacy;[Sir_Jazzberry](https://oengus.io/user/Jazz);PlayStation 2;Any%;;;0:29:07;ESA 2025 Summer (One);kt6YrQUNj8s
2025-06-28T15:05:00+02:00;Star Wars Jedi Knight: Jedi Academy;Laay;PC;All Levels (No Stablaunch);;;0:35:04;ESA 2025 Summer (One);mXhGUq6K4Vk
2025-06-28T16:00:00+02:00;Halo: Reach;Seclusive|Sorix;PC;Legendary;;;1:17:58;ESA 2025 Summer (One);l01Pu8dOZTI
2025-06-28T17:40:00+02:00;League of Legends;[AEtienne](https://oengus.io/user/AEtienne);PC;1v5 (With Bots);;;0:17:13;ESA 2025 Summer (One);xWmTFxOmXPQ
2025-06-28T18:15:00+02:00;Halo Infinite;caitbot;PC;All Missions (Easy);;;1:04:34;ESA 2025 Summer (One);_scTYuGX7RU
2025-06-28T19:47:00+02:00;Sly 2: Band of Thieves;[Slysonic](https://oengus.io/user/slysonic);PlayStation 5;Episode 7 (100%);;;0:31:08;ESA 2025 Summer (One);_0wZniSVBrc
2025-06-28T20:37:00+02:00;Borderlands 2;[Oggyerino](https://oengus.io/user/Oggy)|[yisk](https://oengus.io/user/yisk);PC;Any% (Co-op);;;1:57:43;ESA 2025 Summer (One);xSDQQIKILMU
2025-06-28T22:42:00+02:00;Pokémon Red;[AEtienne](https://oengus.io/user/AEtienne);Game Boy Color;Any% (Glitchless);;;1:56:10;ESA 2025 Summer (One);Qhtxtq48EVI
2025-06-29T00:57:00+02:00;Paper Mario;[JakeBopDart](https://oengus.io/user/jakebopdart);Nintendo 64;Any% (No ACE);;;1:57:52;ESA 2025 Summer (One);2EZU3DovY_c
2025-06-29T03:27:00+02:00;Like A Dragon Gaiden: The Man Who Erased His Name;[RebelDragon95](https://oengus.io/user/RebelDragon95);PlayStation 5;Any%;;;1:30:48;ESA 2025 Summer (One);FrMeLapJh6o
2025-06-29T05:17:00+02:00;Jazzpunk;[UselessBrit](https://oengus.io/user/UselessBrit);PC;Any%;;;0:16:44;ESA 2025 Summer (One);awjEG-rzwwM
2025-06-29T06:02:00+02:00;Hades;[OckE](https://oengus.io/user/OckE);PC;OwO (One Weapon Only);;;1:14:50;ESA 2025 Summer (One);m5xQjkUQuPk
2025-06-29T07:37:00+02:00;Skeleton Krew;[Joka](https://oengus.io/user/jokaah);Genesis;Easy Mode;;;0:17:17;ESA 2025 Summer (One);l6R-JRTqz0E
2025-06-29T08:12:00+02:00;Snake Rattle 'n' Roll;[Dxtr](https://oengus.io/user/dxtr);Nintendo Entertainment System;Warpless;;;0:14:41;ESA 2025 Summer (One);S6j_KWIS5rg
2025-06-29T08:45:00+02:00;Contra;[TypicalFantasyX](https://oengus.io/user/TypicalFantasyX);Nintendo Entertainment System;Any%;;;0:13:33;ESA 2025 Summer (One);bUxWRxJ5YdM
2025-06-29T09:00:00+02:00;The Simpsons: Bartman Meets Radioactive Man;[ApolloSmug](https://oengus.io/user/ApolloSmug);Nintendo Entertainment System;Any%;;;0:18:38;ESA 2025 Summer (One);u3vHLY33Q4g
2025-06-29T09:21:00+02:00;Data Man;Niss3|[Fleke](https://oengus.io/user/Fleke);Nintendo Entertainment System;2P Any%;;;0:16:02;ESA 2025 Summer (One);yCZh6qXRJqs
2025-06-29T09:56:00+02:00;Battletoads & Double Dragon;[sYn](https://oengus.io/user/sYn_stream)|[TypicalFantasyX](https://oengus.io/user/TypicalFantasyX);Nintendo Entertainment System;Any% (Co-op);;;0:28:03;ESA 2025 Summer (One);W9CMjYbtgOc
2025-06-29T10:46:00+02:00;Tiny Toon Adventures;hirexen;Nintendo Entertainment System;Any%;;;0:19:13;ESA 2025 Summer (One);DAIX-SnENWI
2025-06-29T11:18:00+02:00;Run Saber;[sYn](https://oengus.io/user/sYn_stream)|[TypicalFantasyX](https://oengus.io/user/TypicalFantasyX);Super Nintendo;Any% (Co-op);;;0:18:32;ESA 2025 Summer (One);Tc8qI-loMKE
2025-06-29T11:58:00+02:00;Pilotwings;Lucha_Gym;Super Famicom;Any%;;;0:31:21;ESA 2025 Summer (One);KCfPbuRW2-M
2025-06-29T12:48:00+02:00;Metaphor: ReFantazio (Part 1);[Neviutz](https://oengus.io/user/Neviutz);PC;True Ending (Hard);;;3:11:52;ESA 2025 Summer (One);H9YeP6gP5aI
2025-06-29T16:13:00+02:00;The Elder Scrolls V: Skyrim + Glitch Exhibition;[pekkanen](https://oengus.io/user/pekkanen);PC;All Daedric Quests;;;1:55:43;ESA 2025 Summer (One);tqo5wMS3wL4
